Name,Leaf Form,Thickness,Thickness_Range,Width,Width_Range,Length,Length_Range
Acacia Melanoxylon,Flat,0.21,0.1,18,12,100,40
Acacia mucronata subsp. Longifolia,Flat,0.206666667,0.118133634,4,2,90.5,30.5
Acacia myrtifolia juvenile,Flat,0.596666667,0.162754075,9.9,1.948218559,31.9,5.897645481
Acacia nano-dealbata,Flat,0.126666667,0.067986927,3.5,1.5,70,50
Acacia pycnantha,Flat,1,0.264575131,20,15,140,60
Acacia verticillata,Flat,0.13125,0.09822646,3,2,7.76,2.249977778
Acrotriche serrulata,Flat,0.1,1.39E-17,1,0.253729577,5.7,1.649915823
Allocasuarina misera,Flat,0.466666667,0.059628479,0.6,0.25,80,20
Amperea xiphoclada var. xiphoclada,Flat,0.286666667,0.049888765,2.566666667,0.679869268,10,5
Anthoxanthum odoratum,Flat,0.1,1.39E-17,5,3.5,160,150
Arthropodium milleflorum s.l.,Flat,0.1,1.39E-17,9,8,310,280
Banksia marginata,Flat,0.45,0.15,6.5,3.5,40,20
Bedfordia arborescens,Flat,1.226666667,0.335592345,30,10,150,50
Blechnum nudum,Flat,0.94,0.346025047,2.5,0.5,7.5,4.5
Burchardia umbellata,Flat,0.2,0.081649658,9,3,200,100
Conospermum mitchellii,Flat,0.15,0.089188259,2.5,1.5,85,35
Coprosma quadrifida,Flat,0.1,1.39E-17,3.5,1.5,10,5
Cyathea australis,Flat,0.153333333,0.088443328,11.4,3.94630629,37.33333333,13.36363386
Dichondra repens,Flat,0.1,1.39E-17,17.5,12.5,15,10
Dicksonia antarctica,Flat,0.1,0.06,12.45,1.5,45.33,13
Dillwynia glaberrima,Round,0.473333333,0.067986927,0.5,0.1,16.5,13.5
Epacris impressa,Flat,0.16,0.12,1.9,1.1,9.5,5.5
Eucalyptus aromaphloia,Flat,0.2,0.129099445,15,5,120,40
Eucalyptus aromaphloia juvenile,Flat,1.230753968,0.387658251,16,0,75,0
Eucalyptus baxteri juvenile,flat,0.492857143,0.088352263,43.66666667,16.47894279,83.3,18.94436298
Eucalyptus baxteri,Flat,1.644675325,0.472972749,22.5,7.5,100,30
Eucalyptus cypellocarpa,Flat,0.14,0.08,17.5,7.5,160,40
Eucalyptus falciformis,Flat,0.36,0.06,26,9,160,60
Eucalyptus falciformis juvenille,Flat,0.36,0.06,4,2.5,125,45
Eucalyptus globulus subsp. bicostata,Flat,0.44,0.08,23.5,13,210,180
Eucalyptus obliqua juvenile,flat,0.5,0,22.4,7.4,82.3,16.6
Eucalyptus obliqua,Flat,0.42,0.08,25,10,125,25
Eucalyptus ovata,Flat,0.43,0.09,27.5,7.5,130,40
Eucalyptus radiata,Flat,0.16,0.087939373,10.5,4.5,95,25
Eucalyptus tricarpa subsp. tricarpa,Flat,0.291666667,0.02763854,15,5,160,70
Gahnia radula,Flat,0.976,0.424527973,3.75,1.25,600,100
Gonocarpus tetragynus,Flat,0.1,1.39E-17,4.5,2.5,12.5,6.5
Goodenia ovata,Flat,0.166666667,0.13984118,25,15,55,25
Hibbertia riparia,Flat,0.34,0.162480768,1.5,0.9,12.9,9.9
Hypolaena fastigiata,round,0.607857143,0.204805782,0.62,0.234378611,9,6
Lepidosperma elatius,Flat,0.74,0.233238076,13,7,140,30
Lepidosperma semiteres,Flat,0.23030303,0.166031849,1.75,0.75,400,200
Leptospermum continentale,Flat,0.135714286,0.104246568,2,1,9,4
Leptospermum scoparium,flat,0.135714286,0.104246568,4.5,2,14.5,7
Leptospermum myrsinoides,Flat,0.26,0.04,2.5,1.5,8,5
Lomandra filiformis,Flat,0.633333333,0.221108319,2.75,2.25,300,170
Lomandra longifolia,Flat,0.726666667,0.25157283,6,4,750,250
Microlaena stipoides var. Stipoides,Flat,0.1,1.39E-17,6.5,5.5,110,90
Microsorum pustulatum subsp. Pustulatum,Flat,1,0.3,7,2,275,225
Monotoca scoparia,Flat,0.133333333,0.084983659,2,1,11.5,4.5
Notelaea ligustrina,Flat,0.1,1.39E-17,14.5,10.5,52.5,32.5
Olearia argophylla,Flat,0.27,0.01,45,25,75,45
Olearia lirata,Flat,0.573333333,0.274388208,20,15,90,60
Patersonia fragilis,Flat,0.966666667,0.047140452,3.5,2.5,400,200
Poa ensiformis,Flat,0.1,1.39E-17,3.5,1.5,175,125
Poa labillardierei,Flat,0.1,0,1.3,0.5,150,50
Poa morrisii,Flat,0.1,1.39E-17,2,0.1,250,50
Poa sieberiana,Round,0.1,1.39E-17,0.5,0.2,300,20
Poa tenera,Flat,0.1,1.39E-17,0.5,0.02,200,10
Polystichum proliferum,Flat,0.693333333,0.176886655,5,1,11.3,2
Pomaderris aspera,Flat,1.04,0.108320512,40,20,80,40
Pteridium esculentum,Flat,0.21,0.19,2.2,0.5,8.7,8
Pultenaea daphnoides,Flat,0.466666667,0.06992059,12,8,19,11
Pultenaea gunnii subsp. Gunnii,Flat,0.1,1.39E-17,2,1,4,2
Pultenaea mollis,Round,0.1,1.39E-17,0.75,0.45,15,5
Senecio linearifolius,Flat,0.713333333,0.300813711,26.5,23.5,125,75
Spyridium parvifolium,Flat,0.38,0.172046505,8,5,11,7
Stellaria flaccida,Flat,0.1,1.39E-17,4,2,14,6
Tetrarrhena juncea,Round,0.3,1.39E-17,0.3,1.39E-17,9999,0
Xanthorrhoea australis,Round,1.6,0.6,2.1,0.9,1450,350
Xanthorrhoea minor subsp. Lutea,Round,1.25,0.25,2.7,0.8,175,125
Viola hederacea,Flat,0.5,0.1,15,14.5,10,9.5
Sambucus gaudichaudiana,Flat,0.2085,0.194994455,35,25,90,60
